name,destination,chain_id,stars,categ_id
Palco,Fuera de Polo Ciudad Habana,Cons. Estado,4,Hotel
Villa Guajimico,Fuera de Polo Cienfuegos,Cubamar,3,Hotel
Aguas Claras,Fuera de Polo Pinar del Río,Cubamar,2,Hotel
Dos Hermanas,Viñales,Cubamar,1,Hotel
Club Amigo Costasur,Ancón,Cubanacán,3,Hotel
Brisas Trinidad del Mar,Ancón,Cubanacán,4,Hotel
Club Amigo Ancón,Ancón,Cubanacán,3,Hotel
Villa El Colibrí (El Indio),Baconao,Cubanacán,3,Hotel
Club Amigo Carisol,Baconao,Cubanacán,3,Hotel
Club Amigo Los Corales,Baconao,Cubanacán,3,Hotel
Horizontes Villa Guamá,Bahía de Cochinos,Cubanacán,2,Hotel
Hotel Playa Girón,Bahía de Cochinos,Cubanacán,3,Hotel
Horizontes Playa Larga,Bahía de Cochinos,Cubanacán,2,Hotel
Pío Cuá,Bahía de Cochinos,Cubanacán,,Hotel
Finca Don Pedro,Bahía de Cochinos,Cubanacán,3,Hotel
Hostal Velasco,Matanzas,Cubanacán,,Hotel
NH Krystal Villas & Resort,Cayo Coco,Cubanacán,4,Hotel
Tryp Cayo Coco,Cayo Coco,Cubanacán,4,Hotel
Colonial Cayo Coco,Cayo Coco,Cubanacán,5,Hotel
Cayo Levisa,Cayo Levisa,Cubanacán,2,Hotel
Parque Central,Centro Tradicional,Cubanacán,5,Hotel
Hotel Palacio Azul,Cienfuegos,Cubanacán,3,Hotel
Hotel La Unión,Cienfuegos,Cubanacán,4,Hotel
Brisas Covarrubias,Covarrubias,Cubanacán,4,Hotel
Bellocaribe,Fuera de Polo Ciudad Habana,Cubanacán,3,Hotel
Hotel Mariposa,Fuera de Polo Ciudad Habana,Cubanacán,2,Hotel
La Pradera,Fuera de Polo Ciudad Habana,Cubanacán,4,Hotel
El Yarey,Fuera de Polo Granma,Cubanacán,2,Hotel
El Saltón,Fuera de Polo Santiago de Cuba,Cubanacán,3,Hotel
Hotel Mascote,Fuera de Polo Villa Clara,Cubanacán,3,Hotel
Brisas Sierra Mar,Guamá,Cubanacán,4,Hotel
Villa Los Galeones,Guamá,Cubanacán,4,Hotel
Brisas Guardalavaca,Guardalavaca,Cubanacán,4,Hotel
Club Amigo Atlántico Guardalavaca,Guardalavaca,Cubanacán,3,Hotel
Secc Tropical Club Amigo Atlántico Guardalavaca,Guardalavaca,Cubanacán,3,Hotel
Secc Standard Club Amigo Atlántico Guardalavaca,Guardalavaca,Cubanacán,3,Hotel
Villa El Quinqué,Holguín,Cubanacán,3,Hotel
Villa El Cocal,Holguín,Cubanacán,3,Hotel
Breezes Jibacoa,Jibacoa,Cubanacán,4,Hotel
Club Amigo Marea del Portillo,Marea del Portillo,Cubanacán,3,Hotel
Club Amigo Farallón del Caribe,Marea del Portillo,Cubanacán,4,Hotel
Punta Piedra,Marea del Portillo,Cubanacán,2,Hotel
El Viejo y el Mar,Marina Hemingway,Cubanacán,4,Hotel
Marina Hemingway,Marina Hemingway,Cubanacán,4,Hotel
Hotel Copacabana,Monte Barreto,Cubanacán,4,Hotel
Hotel Comodoro,Monte Barreto,Cubanacán,4,Hotel
Meliá Habana,Monte Barreto,Cubanacán,5,Hotel
Hotel Chateau Miramar,Monte Barreto,Cubanacán,4,Hotel
Hotel Tropicoco,Playas del Este,Cubanacán,2,Hotel
Mégano,Playas del Este,Cubanacán,3,Hotel
Blau Arenal,Playas del Este,Cubanacán,4,Hotel
Hotel Faro Luna,Rancho Luna,Cubanacán,3,Hotel
Club Amigo Rancho Luna,Rancho Luna,Cubanacán,3,Hotel
Hostal Encanto El Rijo,Sancti Spíritus,Cubanacán,3,Hotel
Hostal Encanto Plaza,Sancti Spíritus,Cubanacán,1,Hotel
Villa La Granjita,Santa Clara,Cubanacán,3,Hotel
Villa Los Caneyes,Santa Clara,Cubanacán,3,Hotel
América,Villa Clara,Cubanacán,3,Hotel
Hotel Encanto Barcelona,Villa Clara,Cubanacán,3,Hotel
Hotel Encanto Mascotte,Villa Clara,Cubanacán,3,Hotel
Club Amigo Caracol,Santa Lucía,Cubanacán,3,Hotel
Gran Club Santa Lucía,Santa Lucía,Cubanacán,3,Hotel
Club Amigo Mayanabo,Santa Lucía,Cubanacán,3,Hotel
Brisas Santa Lucía,Santa Lucía,Cubanacán,4,Hotel
Meliá Santiago de Cuba,Santiago de Cuba,Cubanacán,5,Hotel
Motel Versalles,Santiago de Cuba,Cubanacán,3,Hotel
Hotel E San Basilio,Santiago de Cuba,Cubanacán,3,Hotel
Horizontes Villa Soroa,Soroa - Las Terrazas,Cubanacán,3,Hotel
Hotel Las Cuevas,Trinidad - Valle de los Ingenios,Cubanacán,3,Hotel
La Ronda,Trinidad - Valle de los Ingenios,Cubanacán,1,Hotel
Horizontes Finca María Dolores,Trinidad - Valle de los Ingenios,Cubanacán,2,Hotel
Iberostar Gran Hotel Trinidad,Trinidad - Valle de los Ingenios,Cubanacán,5,Hotel
Brisas del Caribe,Varadero,Cubanacán,4,Hotel
Aguas Azules,Varadero,Cubanacán,3,Hotel
Club Amigo Tropical,Varadero,Cubanacán,3,Hotel
Breezes Varadero,Varadero,Cubanacán,4,Hotel
Breezes Bella Costa,Varadero,Cubanacán,4,Hotel
Hotel Tuxpan,Varadero,Cubanacán,4,Hotel
Meliá Las Américas,Varadero,Cubanacán,5,Hotel
Meliá Varadero,Varadero,Cubanacán,5,Hotel
Sol Palmeras,Varadero,Cubanacán,4,Hotel
Blau Varadero,Varadero,Cubanacán,4,Hotel
Sandals Royal Hicacos,Varadero,Cubanacán,5,Hotel
Iberostar Varadero,Varadero,Cubanacán,5,Hotel
Meliá Las Antillas,Varadero,Cubanacán,4,Hotel
Meliá Cohiba,Vedado,Cubanacán,5,Hotel
Horizontes Los Jazmines,Viñales,Cubanacán,3,Hotel
Horizontes La Ermita,Viñales,Cubanacán,3,Hotel
Horizontes Rancho San Vicente,Viñales,Cubanacán,3,Hotel
Hotel Telégrafo,Bayamo,Formatur,,Hotel
Hotel Escuela Regis,Centro Tradicional,Formatur,,Hotel
Hotel Escuela Gran Vía,Playas del Este,Formatur,2,Hotel
Hotel Escuela Tararaco,Santa Lucía,Formatur,1,Hotel
Hotel Escuela Gran hotel,Santiago de Cuba,Formatur,2,Hotel
Unidad Docente EHT Trinidad,Trinidad - Valle de los Ingenios,Formatur,,Hotel
Hotel Escuela Turquino,Varadero,Formatur,,Hotel
Birancito,Bahía de Naranjo-Yuraguanal,Gaviota,3,Hotel
Occidental Grand Playa Turquesa,Bahía de Naranjo-Yuraguanal,Gaviota,5,Hotel
El Castillo,Baracoa,Gaviota,3,Hotel
Porto Santo,Baracoa,Gaviota,2,Hotel
Hostal 1511,Baracoa,Gaviota,3,Hotel
Hostal La Rusa,Baracoa,Gaviota,1,Hotel
Hostal La Habanera,Baracoa,Gaviota,3,Hotel
Hostal Rio Miel,Baracoa,Gaviota,3,Hotel
Villa Gaviota Cayo Coco,Cayo Coco,Gaviota,3,Hotel
Oasis Playa Coco,Cayo Coco,Gaviota,4,Hotel
Blue Bay Cayo Coco,Cayo Coco,Gaviota,4,Hotel
Ensenachos,Cayo Ensenachos,Gaviota,5,Hotel
Villa Las Brujas,Cayo Las Brujas,Gaviota,3,Hotel
Cayo Saetía,Cayo Saetía,Gaviota,4,Hotel
