name,customer,supplier
"CUBANACAN HOTELES",FALSE,TRUE
"VIAJES CUBANACAN",FALSE,TRUE
"CUBACAR",FALSE,TRUE
"REX",FALSE,TRUE
"SOLWAYS",FALSE,TRUE
"ISLAZUL",FALSE,TRUE
"OCCIDENTAL HOTELS & RESORTS",FALSE,TRUE
"HABAGUANEX S.A.",FALSE,TRUE
"GRAN CARIBE",FALSE,TRUE
"BARCELO HOTELS & RESORTS",FALSE,TRUE
"SERVIMED",FALSE,TRUE
"BLAU HOTELS & RESORTS",FALSE,TRUE
"HOTETUR",FALSE,TRUE
"SUPERCLUBS",FALSE,TRUE
"NH HOTELS",FALSE,TRUE
"GAVIOTA HOTELES",FALSE,TRUE
"GAVIOTA TOURS",FALSE,TRUE
"HOTUSA HOTELS",FALSE,TRUE
"H10 HOTELS",FALSE,TRUE
"HUSA HOTELES",FALSE,TRUE
"IBEROSTAR HOTELS & RESORTS",FALSE,TRUE
"AVALON",FALSE,TRUE
"BE LIVE",FALSE,TRUE
"MELIA HOTELS INT.",FALSE,TRUE
"BLUE DIAMOND HOTELS & RESORTS",FALSE,TRUE
"ACCOR",FALSE,TRUE
"LAS TERRAZAS",FALSE,TRUE
"BELLEVUE",FALSE,TRUE
"PESTANA HOTELS & RESORTS",FALSE,TRUE
"RIU HOTELS & RESORTS",FALSE,TRUE
"ROC HOTELS",FALSE,TRUE
"CUBAMAR",FALSE,TRUE
"MINFAR",FALSE,TRUE
"CIMEX",FALSE,TRUE
"VARADERO GOLF COURSE",FALSE,TRUE
"DESTINATION CUBA",FALSE,TRUE
"DESTINO CUBA",FALSE,TRUE
"SAN CRISTOBAL UK",TRUE,TRUE
"CTN",FALSE,TRUE
"CUBA CONSULTANCY",FALSE,TRUE
"HAVANATOUR",FALSE,TRUE
"PALACIO TAXI",FALSE,TRUE
"YOEL TAXI",FALSE,TRUE
"ADVENTURE WORLD",TRUE,FALSE
"ALL ABOUT TAILORMADE TRAVEL",TRUE,FALSE
"ASLA TRAVEL",TRUE,FALSE
"CAPTIVATING CUBA AGENT",TRUE,FALSE
"CAPTIVATING CUBA DIRECT",TRUE,FALSE
"COX & KINGS",TRUE,FALSE
"CUBAISM",TRUE,FALSE
"DAGAMA TRAVEL",TRUE,FALSE
"DESTINATIONS",TRUE,FALSE
"DIRECT CUSTOMER",TRUE,FALSE
"EXPLORE TAILORMADE",TRUE,FALSE
"HALCYON TRAVEL COLLECTION",TRUE,FALSE
"HEFFERNANS",TRUE,FALSE
"QUEST",TRUE,FALSE
"STJERNEGAARD",TRUE,FALSE
"TOPFLIGHT",TRUE,FALSE
"TRAVELEYES",TRUE,FALSE
"TROPICAL SKY",TRUE,FALSE
"VOYAGER",TRUE,FALSE
"WORLDWIDE HOLIDAYS DIRECT",TRUE,FALSE
"LETSGO2",TRUE,FALSE
"BEST AT TRAVEL",TRUE,FALSE
"CUBA 4 AGENTS",TRUE,FALSE
