"product_id","destination","chain_id","res_partner_id"
"CASA PARTICULAR CARMEN IGNACIO","CAMAGUEY",,"CASA PARTICULAR CARMEN IGNACIO"
"CASA PARTICULAR VILLA LAGARTO","CIENFUEGOS",,"CASA PARTICULAR VILLA LAGARTO"
"CASA PARTICULAR ANI Y CARLOS","CIENFUEGOS",,"CASA PARTICULAR ANI Y CARLOS"
"CASA PARTICULAR LOS DELFINES","CIENFUEGOS",,"CASA PARTICULAR LOS DELFINES"
"CASA PARTICULAR PADRON","CIENFUEGOS",,"CASA PARTICULAR PADRON"
"CASA PARTICULAR LA CASITA DE OSHUN","CIENFUEGOS",,"CASA PARTICULAR LA CASITA DE OSHUN"
"CASA PARTICULAR LA PERGOLA","CIENFUEGOS",,"CASA PARTICULAR LA PERGOLA"
"CASA PARTICULAR CIENFUEGOS MARTA PENA","CIENFUEGOS",,"CASA PARTICULAR CIENFUEGOS MARTA PENA"
"CASA PARTICULAR HABANA","HAVANA",,"CASA PARTICULAR HABANA"
"CASA PARTICULAR LISBETH","HAVANA",,"CASA PARTICULAR LISBETH"
"CASA PARTICULAR AURORA","HAVANA",,"CASA PARTICULAR AURORA"
"CASA PARTICULAR ALEIDO","HAVANA",,"CASA PARTICULAR ALEIDO"
"CASA PARTICULAR VANA","HAVANA",,"CASA PARTICULAR VANA"
"CASA PARTICULAR KELLY","HAVANA",,"CASA PARTICULAR KELLY"
"CASA PARTICULAR MAURA","HAVANA",,"CASA PARTICULAR MAURA"
"CASA PARTICULAR RONEL E IVETTE","PLAYA GIRON",,"CASA PARTICULAR RONEL E IVETTE"
"CASA PARTICULAR PLAYA LARGA - GUAMA","PLAYA LARGA",,"CASA PARTICULAR PLAYA LARGA - GUAMA"
"CASA PARTICULAR HOSTAL MAYITO","PLAYA LARGA",,"CASA PARTICULAR HOSTAL MAYITO"
"CASA PARTICULAR LA BUGANVILIA","REMEDIOS",,"CASA PARTICULAR LA BUGANVILIA"
"CASA PARTICULAR ROSA ELVIRA","BARACOA",,"CASA PARTICULAR ROSA ELVIRA"
"CASA PARTICULAR HOSTAL AUTHENTICA PERGOLA","SANTA CLARA CITY",,"CASA PARTICULAR HOSTAL AUTHENTICA PERGOLA"
"CASA PARTICULAR GEORGINA","SANTIAGO DE CUBA",,"CASA PARTICULAR GEORGINA"
"CASA PARTICULAR LOS SAUCES","SOROA",,"CASA PARTICULAR LOS SAUCES"
"CASA PARTICULAR HOSPEDAJE VIVO","SOROA",,"CASA PARTICULAR HOSPEDAJE VIVO"
"CASA PARTICULAR EL TEIDE","TRINIDAD",,"CASA PARTICULAR EL TEIDE"
"CASA PARTICULAR OSMARY Y ALBERTO","TRINIDAD",,"CASA PARTICULAR OSMARY Y ALBERTO"
"CASA PARTICULAR EL TULIPAN","TRINIDAD",,"CASA PARTICULAR EL TULIPAN"
"CASA PARTICULAR FONT","TRINIDAD",,"CASA PARTICULAR FONT"
"CASA PARTICULAR BALBINA","TRINIDAD",,"CASA PARTICULAR BALBINA"
"CASA PARTICULAR COLONIAL 1830","TRINIDAD",,"CASA PARTICULAR COLONIAL 1830"
"CASA PARTICULAR COLONIAL EL PATIO","TRINIDAD",,"CASA PARTICULAR COLONIAL EL PATIO"
"CASA PARTICULAR MIRIAM","TRINIDAD",,"CASA PARTICULAR MIRIAM"
"CASA PARTICULAR HOSTAL NILDA PONCE","TRINIDAD",,"CASA PARTICULAR HOSTAL NILDA PONCE"
"CASA PARTICULAR LA CASONA 254","TRINIDAD",,"CASA PARTICULAR LA CASONA 254"
"CASA PARTICULAR LAS PALMAS","TRINIDAD",,"CASA PARTICULAR LAS PALMAS"
"CASA PARTICULAR SARA SAN JUAN","TRINIDAD",,"CASA PARTICULAR SARA SAN JUAN"
"CASA PARTICULAR HAYDEE CHIROLE","VINALES",,"CASA PARTICULAR HAYDEE CHIROLE"
"CASA PARTICULAR JORGE Y ANA LUISA","VINALES",,"CASA PARTICULAR JORGE Y ANA LUISA"
"CASA PARTICULAR MIRIAM Y LUISA","VINALES",,"CASA PARTICULAR MIRIAM Y LUISA"
"CASA PARTICULAR VILLA LA CUBANA","VINALES",,"CASA PARTICULAR VILLA LA CUBANA"
"CASA PARTICULAR CAFETAL","VINALES",,"CASA PARTICULAR CAFETAL"
"CASA PARTICULAR CAMPO","VINALES",,"CASA PARTICULAR CAMPO"
"CASA PARTICULAR CUBANA","VINALES",,"CASA PARTICULAR CUBANA"
"CASA PARTICULAR PAPO Y NIULVYS","VINALES",,"CASA PARTICULAR PAPO Y NIULVYS"
"CASA PARTICULAR LA ESQUINITA","VINALES",,"CASA PARTICULAR LA ESQUINITA"
"CASA PARTICULAR LA GRAN FAMILIA","VINALES",,"CASA PARTICULAR LA GRAN FAMILIA"
"CASA PARTICULAR SUNNY BALCONY","VINALES",,"CASA PARTICULAR SUNNY BALCONY"
"CASA PARTICULAR VILLA CRISTAL","VINALES",,"CASA PARTICULAR VILLA CRISTAL"
"CASA PARTICULAR VILLA NIURKY","VINALES",,"CASA PARTICULAR VILLA NIURKY"
"CASA PARTICULAR VILLA FUENTES","HOLGUIN",,"CASA PARTICULAR VILLA FUENTES"
