"name","categ_id"
"CASA PARTICULAR CARMEN IGNACIO","Hotel"
"CASA PARTICULAR VILLA LAGARTO","Hotel"
"CASA PARTICULAR ANI Y CARLOS","Hotel"
"CASA PARTICULAR LOS DELFINES","Hotel"
"CASA PARTICULAR PADRON","Hotel"
"CASA PARTICULAR LA CASITA DE OSHUN","Hotel"
"CASA PARTICULAR LA PERGOLA","Hotel"
"CASA PARTICULAR CIENFUEGOS MARTA PENA","Hotel"
"CASA PARTICULAR HABANA","Hotel"
"CASA PARTICULAR LISBETH","Hotel"
"CASA PARTICULAR AURORA","Hotel"
"CASA PARTICULAR ALEIDO","Hotel"
"CASA PARTICULAR VANA","Hotel"
"CASA PARTICULAR KELLY","Hotel"
"CASA PARTICULAR MAURA","Hotel"
"CASA PARTICULAR RONEL E IVETTE","Hotel"
"CASA PARTICULAR PLAYA LARGA - GUAMA","Hotel"
"CASA PARTICULAR HOSTAL MAYITO","Hotel"
"CASA PARTICULAR LA BUGANVILIA","Hotel"
"CASA PARTICULAR ROSA ELVIRA","Hotel"
"CASA PARTICULAR HOSTAL AUTHENTICA PERGOLA","Hotel"
"CASA PARTICULAR GEORGINA","Hotel"
"CASA PARTICULAR LOS SAUCES","Hotel"
"CASA PARTICULAR HOSPEDAJE VIVO","Hotel"
"CASA PARTICULAR EL TEIDE","Hotel"
"CASA PARTICULAR OSMARY Y ALBERTO","Hotel"
"CASA PARTICULAR EL TULIPAN","Hotel"
"CASA PARTICULAR FONT","Hotel"
"CASA PARTICULAR BALBINA","Hotel"
"CASA PARTICULAR COLONIAL 1830","Hotel"
"CASA PARTICULAR COLONIAL EL PATIO","Hotel"
"CASA PARTICULAR MIRIAM","Hotel"
"CASA PARTICULAR HOSTAL NILDA PONCE","Hotel"
"CASA PARTICULAR LA CASONA 254","Hotel"
"CASA PARTICULAR LAS PALMAS","Hotel"
"CASA PARTICULAR SARA SAN JUAN","Hotel"
"CASA PARTICULAR HAYDEE CHIROLE","Hotel"
"CASA PARTICULAR JORGE Y ANA LUISA","Hotel"
"CASA PARTICULAR MIRIAM Y LUISA","Hotel"
"CASA PARTICULAR VILLA LA CUBANA","Hotel"
"CASA PARTICULAR CAFETAL","Hotel"
"CASA PARTICULAR CAMPO","Hotel"
"CASA PARTICULAR CUBANA","Hotel"
"CASA PARTICULAR PAPO Y NIULVYS","Hotel"
"CASA PARTICULAR LA ESQUINITA","Hotel"
"CASA PARTICULAR LA GRAN FAMILIA","Hotel"
"CASA PARTICULAR SUNNY BALCONY","Hotel"
"CASA PARTICULAR VILLA CRISTAL","Hotel"
"CASA PARTICULAR VILLA NIURKY","Hotel"
"CASA PARTICULAR VILLA FUENTES","Hotel"
