name,customer,supplier
"DESTINATION CUBA",FALSE,TRUE
"DESTINO CUBA",FALSE,TRUE
"SAN CRISTOBAL UK",TRUE,TRUE
"CTN",FALSE,TRUE
"CUBA CONSULTANCY",FALSE,TRUE
"PALACIO TAXI",FALSE,TRUE
"YOEL TAXI",FALSE,TRUE
"ADVENTURE WORLD",TRUE,FALSE
"ALL ABOUT TAILORMADE TRAVEL",TRUE,FALSE
"ASLA TRAVEL",TRUE,FALSE
"CAPTIVATING CUBA AGENT",TRUE,FALSE
"CAPTIVATING CUBA DIRECT",TRUE,FALSE
"COX & KINGS",TRUE,FALSE
"CUBAISM",TRUE,FALSE
"DAGAMA TRAVEL",TRUE,FALSE
"DESTINATIONS",TRUE,FALSE
"DIRECT CUSTOMER",TRUE,FALSE
"EXPLORE TAILORMADE",TRUE,FALSE
"HALCYON TRAVEL COLLECTION",TRUE,FALSE
"HEFFERNANS",TRUE,FALSE
"STJERNEGAARD",TRUE,FALSE
"TOPFLIGHT",TRUE,FALSE
"TRAVELEYES",TRUE,FALSE
"TROPICAL SKY",TRUE,FALSE
"VOYAGER",TRUE,FALSE
"WORLDWIDE HOLIDAYS DIRECT",TRUE,FALSE
"LETSGO2",TRUE,FALSE
"BEST AT TRAVEL",TRUE,FALSE
"CUBA 4 AGENTS",TRUE,FALSE
